,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Western University,Western University,,,,,,,,,,,,2022-03-14T09:29:03.000Z,Mon Mar 14 09:29:03 +0000 2022,13,"Traffic alert: University Drive Bridge is *closed* to all motor vehicles from 6:00 a.m. to 6:00 p.m. today. Cyclists and pedestrians can still access the bridge. 

@LTCLdnOnt and campus shuttles will be rerouted during the closure.
#WesternU #LdnOnt
https://t.co/J50dzUxtzF https://t.co/HijiaJDwtP",9,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.uwo.ca/fm/notices/ud_bridge.html ,2,1,photo,https://pbs.twimg.com/media/FNzNXR4WYAItRUe.jpg,
Western International,Western University,,,,,,,,,,,,2022-03-14T00:38:01.000Z,Mon Mar 14 00:38:01 +0000 2022,0,RT @westernuIntl : Did you know there is a way to add global appeal to your #WesternU undergraduate degree while developing your global awareness? Learn more about the 4 categories and apply now for the Global &amp; Intercultural Engagement Honour. https://t.co/YA7PEPK29i. #globalwesternu @westernuSE https://t.co/JqyrN5bdqc,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,http://international.uwo.ca/globalhonour ,2,1,photo,https://pbs.twimg.com/media/FNvPo5sXsAAmmAz.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-14T00:26:00.000Z,Mon Mar 14 00:26:00 +0000 2022,11,"This week's #WesternU vaccination centre hours (located in Thames Hall, Room 3189):
Monday, March 14 - Friday, March 18, 9:00 a.m. to 1:00 p.m.
Only walk-in appointments are available.",6,en,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers.</a>",Tweet,,1,0,,,
London Transit,Western University,,,,,,,,,,,,2022-03-13T21:58:01.000Z,Sun Mar 13 21:58:01 +0000 2022,0,"RT @LTCLdnOnt : DETOUR: Due to work on the University bridge, Routes 6, 13, 27 &amp; 106 will be on detour as of first bus Monday March 14 to approx. 7pm. Stops along University Dr between Richmond and Perth/Lambton will not be serviced and delays on these routes should be anticipated. #LdnOnt",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,0,,,
Student Experience,Western University,,,,,,,,,,,,2022-03-12T21:19:01.000Z,Sat Mar 12 21:19:01 +0000 2022,0,"RT @westernuSE : Wellness &amp; Well-being will be sponsoring a Community of Care Session for Ukrainian students on Friday, March 18 from 11am - 2.m in Thames Hall, Rm 3118. Western grad &amp; former president of #WesternU's Ukrainian Student Club, Halyna Polityka, RP, M..Ed. will lead the event. https://t.co/w5zjENrwor",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FNqhoiWXEAMuTAF.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-12T17:17:00.000Z,Sat Mar 12 17:17:00 +0000 2022,6,A study involving @SchulichMedDent prof @JenLGuthrie found that white-tailed deer in Ontario may have transmitted #COVID19 to a human. @DiscoverMag #WesternU https://t.co/FgpKt4Fpyd,2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.discovermagazine.com/health/deer-likely-transmitted-coronavirus-to-a-human ,2,3,,,
Western University,Western University,,,,,,,,,,,,2022-03-11T23:12:00.000Z,Fri Mar 11 23:12:00 +0000 2022,12,"""The time has come to invest in the research to make these great technologies even better, more effective, and develop new tools to be better prepared and equipped for the next unprecedented event."" 
— Anwar Haque, professor and telecommunications industry expert
#WesternU",2,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,1,0,,,
Western University,Western University,,,,,,,,,,,,2022-03-11T21:33:00.000Z,Fri Mar 11 21:33:00 +0000 2022,29,"""The most important lesson that we learned during the pandemic is that our health and well-being as a society depend largely on the health and well-being of the most vulnerable.""
— @KateHeeChoi, demographer and director of the Centre for Research on Social Inequality
#WesternU",8,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-11T20:23:00.000Z,Fri Mar 11 20:23:00 +0000 2022,7,"Monday marks the beginning of @westernuSE's ReShape Week - a four-day series of talks &amp; events focused on gender-based and sexual violence education and prevention. Speakers are open to all #WesternU students, staff, and faculty. Learn more &amp; register at: 
https://t.co/2fOmb31i6q",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://uwo.ca/se/digital/types/reshape/reshape_week.html ,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-11T19:15:00.000Z,Fri Mar 11 19:15:00 +0000 2022,22,"""Powers that were once taken for granted, or that were entirely unknown to much of the public, have now been made very evident and subjected to public scrutiny, which, at times, has been rather impoverished."" 
— @maxwellsmith, bioethicist &amp; assistant professor 
#WesternU",4,en,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",Tweet,,1,1,,,
Western University,Western University,,,,,,,,,,,,2022-03-11T18:05:02.000Z,Fri Mar 11 18:05:02 +0000 2022,11,"Heads up! University Drive Bridge will be closed to motor vehicles on March 14, from 6:00 a.m. to 6:00 p.m. for an annual inspection. 

One sidewalk will be open for pedestrians and cyclists. Drivers, please use an alternate route. 
#WesternU #LdnOnt 
https://t.co/J50dzUxtzF https://t.co/zQzgt7uOIN",25,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.uwo.ca/fm/notices/ud_bridge.html ,2,0,photo,https://pbs.twimg.com/media/FNlmsUVWYAo1Fce.jpg,
