,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
University of Toronto,University of Toronto,,,,,,,,,,36,,2022-03-18T14:01:01.000Z,Fri Mar 18 14:01:01 +0000 2022,35,"Using a sex &amp; gender lens, #UofT graduate students focus on brain, mental health research ?? https://t.co/3nBxHaD9lj https://t.co/LzMRcmigTI",7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Hv ,1,0,photo,https://pbs.twimg.com/media/FOIwft-XsAAb0M0.jpg,https://pbs.twimg.com/media/FNAxsGXWUAEhEpr.jpg
U of T Varsity Blues,University of Toronto,,,,,,,,,,37,,2022-03-18T13:45:05.000Z,Fri Mar 18 13:45:05 +0000 2022,0,"RT @Varsity_Blues : Focused on his path!

From Vancouver to Toronto, how career aspirations in physical therapy sent Chris Taylor 4000 kilometers east.

??: https://t.co/dILQLVnBPI

WE ALL #BLEEDBLUE | #WeAreTO https://t.co/mucAvoWjuK",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://bit.ly/3ie65Yc ,2,0,photo,https://pbs.twimg.com/media/FOFQjmBXIAEnEL8.jpg,
University of Toronto,University of Toronto,,,,,,,,,,38,,2022-03-17T21:06:06.000Z,Thu Mar 17 21:06:06 +0000 2022,156,"At age 101, Hazel McCallion renews role as @UTM special adviser #UofT ?? https://t.co/V1sHGVhzHm https://t.co/gweMN5bcsR",20,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Hm ,1,1,photo,https://pbs.twimg.com/media/FOFJpJyX0AEMGHx.jpg,https://pbs.twimg.com/media/FNLMk0vUYAgZH58.jpg
Black Research Network,University of Toronto,,,,,,,,,,39,,2022-03-17T20:30:01.000Z,Thu Mar 17 20:30:01 +0000 2022,0,"RT @uoftbrn : Co-edited by @History_UofT's Funké Aladejebi, ""Unsettling the Great White North"" brings scholars across academic disciplines together to share and celebrate Black Canadian history and studies ?? https://t.co/HQMzmRaP7j @utpress #UofT #BlackResearchNetwork https://t.co/tJFZBUacSg",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://buff.ly/3qdsKZg ,2,2,video,https://video.twimg.com/amplify_video/1504507767662563331/vid/640x360/1hppMLmWPEqB-rjd.mp4?tag=14,https://pbs.twimg.com/media/FNF2STDWQAgqxXo.jpg
University of Toronto,University of Toronto,,,,,,,,,,40,,2022-03-17T20:01:28.000Z,Thu Mar 17 20:01:28 +0000 2022,19,'I found a community': #UofT alumna @MellVincent on how @HartHouseUofT's music magazine helped launch her career ?? https://t.co/fbawvZRzvK https://t.co/W6cfa375np,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7GX ,1,2,photo,https://pbs.twimg.com/media/FOE1DBjXwAQbzxh.jpg,https://video.twimg.com/ext_tw_video/1499825401379573762/pu/pl/WpX9zHzaG3sY_KOQ.m3u8?tag=12&container=fmp4
University of St. Michael's College,University of Toronto,,,,,,,,,,41,,2022-03-17T19:01:00.000Z,Thu Mar 17 19:01:00 +0000 2022,0,"RT @uStMikes : Happy #StPatricksDay! @uStMikes is proud to be a home of #CelticStudies in Canada, with deep connections to the Irish community going back to the 19th century. We celebrate that heritage today: https://t.co/SlbuEbmzJE https://t.co/Gmnuj4Acif",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://stmikes.utoronto.ca/news/st-mikes-celebrates-its-irish-connections ,2,1,photo,https://pbs.twimg.com/media/FOD4Z04VIAwdPIs.jpg,https://pbs.twimg.com/media/FNA43ZkXMAUkdcR.jpg
University of Toronto,University of Toronto,,,,,,,,,,42,,2022-03-17T18:01:21.000Z,Thu Mar 17 18:01:21 +0000 2022,35,"In celebration of #WomensHistoryMonth, #UofT brought together researchers &amp; leaders across @researchuoft to discuss the challenge of building a sustainable future. ?? https://t.co/dkyGTQwaKI https://t.co/l6mRwArUCV",14,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,http://ediri.utoronto.ca ,2,1,video,https://video.twimg.com/amplify_video/1504508408564789255/vid/480x270/u4uGKNypDOO-8G-E.mp4?tag=14,https://pbs.twimg.com/media/FNA4wt7WUAAFeHY.jpg
University of Toronto Student Life,University of Toronto,,,,,,,,,,43,,2022-03-17T17:01:00.000Z,Thu Mar 17 17:01:00 +0000 2022,0,"RT @UofTStudentLife : Explore strategies for managing test anxiety, and consider things to do on days leading up to and on the day of your exam — Monday, March 21, 12-1:30pm (online). Details here: https://t.co/QEhodwIYFp #UofT https://t.co/dx9B6dv50y",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://clnx.utoronto.ca/home/slevents.htm?eventId=41831 ,1,0,photo,https://pbs.twimg.com/media/FOD8hc-VIAEgKaf.jpg,
University of Toronto,University of Toronto,,,,,,,,,,44,,2022-03-17T16:10:33.000Z,Thu Mar 17 16:10:33 +0000 2022,37,.@UofTPharmacy leads international field-based patient trial for cell-free Zika testing &amp; delivers highly accurate results #UofT ?? https://t.co/X08w4oUQf8 https://t.co/WpwQSDb03z,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Hk ,1,1,photo,https://pbs.twimg.com/media/FOEEQTSXoAIw4J7.jpg,https://pbs.twimg.com/media/FM7yPtuUYAsySZM.jpg
U of T Engineering,University of Toronto,,,,,,,,,,45,,2022-03-17T15:01:01.000Z,Thu Mar 17 15:01:01 +0000 2022,0,"RT @uoftengineering : ""What truly sets you apart is what you do outside of the classroom"" – #UofTEngineering @eceuoft student and Lester B. Pearson scholar Diana Virgovicova is one of 36 students selected by @NEXT_Canada to receive entrepreneurship support ????: https://t.co/ytFeTgaeBb https://t.co/J4umZDttUN",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://uofteng.ca/GC3ari ,1,2,photo,https://pbs.twimg.com/media/FODugJqXEAAlyvj.jpg,https://pbs.twimg.com/media/FMsHPgPXwAc23tB.jpg
